168,206,229,116,178,215,69,146,198,32,111,178
233,185,122,220,152,86,199,120,76,184,85,54
171,221,165,123,199,125,70,171,94,32,137,67
196,196,196,157,157,157,117,117,117,77,77,77
253,184,123,252,146,68,240,107,24,209,73,4
196,197,224,163,160,204,130,124,185,104,78,162
252,158,128,250,112,81,236,63,47,200,27,29
138,201,201,97,176,175,55,153,152,30,127,127
65,68,135,42,120,142,34,168,132,122,209,81
59,15,112,140,41,129,222,73,104,254,159,109
201,175,165,217,165,163,159,142,134,223,198,188
191,176,195,131,136,175,209,193,194,58,74,142
199,217,201,115,165,108,137,178,92,110,158,74
152,48,47,133,42,41,208,92,68,179,65,50
174,199,232,255,187,120,255,127,14,31,119,180
140,86,75,227,119,194,127,127,127,196,156,148
31,119,180,255,127,14,44,160,44,174,199,232
152,223,138,255,152,150,197,176,213,214,39,40
174,199,232,255,127,14,255,187,120,31,119,180
31,119,180,219,219,141,158,218,229,174,199,232
188,189,34,255,152,150,219,219,141,174,199,232
128,131,173,145,137,155,177,160,188,164,156,194
198,164,171,158,129,149,174,134,140,232,208,208
31,119,180,255,127,14,44,160,44,174,199,232
82,86,157,132,113,163,101,100,149,165,140,165
199,199,219,39,40,148,188,189,34,214,255,152
152,223,138,255,152,150,127,127,127,214,39,40
225,202,226,158,205,234,221,208,179,184,212,230
201,107,105,184,56,65,215,143,138,209,74,85
95,45,19,163,128,121,129,78,38,197,162,155
