127,201,127,190,174,212,253,192,134,255,255,153,56,108,176,240,2,127,191,91,23
31,119,180,255,127,14,44,160,44,214,39,40,148,103,189,140,86,75,227,119,194
31,119,180,174,199,232,255,127,14,255,187,120,44,160,44,152,223,138,214,39,40
27,158,119,217,95,2,117,112,179,231,41,138,102,166,30,230,171,2,166,118,29
166,206,227,31,120,180,178,223,138,51,160,44,251,154,153,227,26,28,253,191,111
251,180,174,179,205,227,204,235,197,222,203,228,254,217,166,255,255,204,229,216,189
179,226,205,253,205,172,203,213,232,244,202,228,230,245,201,255,242,174,241,226,204
228,26,28,55,126,184,77,175,74,152,78,163,255,127,0,255,255,51,166,86,40
102,194,165,252,141,98,141,160,203,231,138,195,166,216,84,255,217,47,229,196,148
141,211,199,255,255,179,190,186,218,251,128,114,128,177,211,253,180,98,179,222,105
174,199,232,255,127,14,255,187,120,31,119,180,44,160,44,247,182,210,23,190,207
31,119,180,219,219,141,158,218,229,174,199,232,255,187,120,199,199,199,255,127,14
191,176,195,131,136,175,209,193,194,58,74,142,31,37,78,219,187,100,104,94,94
201,107,105,184,56,65,215,143,138,209,74,85,213,154,108,145,87,79,158,129,102
198,164,171,158,129,149,174,134,140,232,208,208,136,124,168,107,98,144,224,205,214
152,223,138,255,152,150,197,176,213,214,39,40,148,103,189,140,86,75,227,119,194
199,217,201,115,165,108,137,178,92,110,158,74,197,215,166,77,139,106,196,210,212
174,199,232,255,187,120,255,127,14,31,119,180,44,160,44,140,86,75,227,119,194
225,202,226,158,205,234,221,208,179,184,212,230,166,226,185,224,168,194,217,166,124
128,131,173,145,137,155,177,160,188,164,156,194,94,103,144,131,143,160,153,134,136
201,175,165,217,165,163,159,142,134,223,198,188,202,165,141,183,161,169,239,200,176
152,48,47,133,42,41,208,92,68,179,65,50,197,83,70,175,54,52,184,60,50
199,199,219,39,40,148,188,189,34,214,255,152,150,197,176,213,152,223,138,219,141
82,86,157,132,113,163,101,100,149,165,140,165,194,165,159,68,76,166,211,173,143
188,189,34,255,152,150,219,219,141,174,199,232,227,119,194,31,119,180,255,127,14
140,86,75,227,119,194,127,127,127,196,156,148,247,182,210,199,23,190,188,189,34
31,119,180,255,127,14,44,160,44,174,199,232,255,187,120,152,223,138,140,86,75
31,119,180,255,127,14,44,160,44,174,199,232,255,187,120,152,223,138,255,152,150
95,45,19,163,128,121,129,78,38,197,162,155,246,215,201,118,90,92,192,123,53
152,223,138,255,152,150,127,127,127,214,39,40,148,103,189,197,176,213,140,86,75
