212,95,82,246,189,164,242,239,238,175,211,230,78,148,195
212,95,82,247,189,164,250,244,241,203,203,203,133,133,133
231,90,59,253,188,115,250,248,193,187,223,233,103,153,199
231,90,59,253,188,113,249,247,174,181,223,121,78,175,91
230,95,74,253,188,113,251,248,176,187,228,162,92,171,173
127,201,127,190,174,212,253,192,134,255,255,153,56,108,176
31,119,180,255,127,14,44,160,44,214,39,40,148,103,189
31,119,180,174,199,232,255,127,14,255,187,120,44,160,44
27,158,119,217,95,2,117,112,179,231,41,138,102,166,30
166,206,227,31,120,180,178,223,138,51,160,44,251,154,153
82,86,157,132,113,163,101,100,149,165,140,165,194,165,159
188,189,34,255,152,150,219,219,141,174,199,232,227,119,194
174,199,232,255,127,14,255,187,120,31,119,180,44,160,44
201,107,105,184,56,65,215,143,138,209,74,85,213,154,108
198,164,171,158,129,149,174,134,140,232,208,208,136,124,168
31,119,180,255,127,14,44,160,44,174,199,232,255,187,120
191,176,195,131,136,175,209,193,194,58,74,142,31,37,78
174,199,232,255,187,120,255,127,14,31,119,180,44,160,44
201,175,165,217,165,163,159,142,134,223,198,188,202,165,141
140,86,75,227,119,194,127,127,127,196,156,148,247,182,210
152,223,138,255,152,150,197,176,213,214,39,40,148,103,189
95,45,19,163,128,121,129,78,38,197,162,155,246,215,201
128,131,173,145,137,155,177,160,188,164,156,194,94,103,144
31,119,180,219,219,141,158,218,229,174,199,232,255,187,120
225,202,226,158,205,234,221,208,179,184,212,230,166,226,185
199,217,201,115,165,108,137,178,92,110,158,74,197,215,166
31,119,180,255,127,14,44,160,44,174,199,232,255,187,120
152,223,138,255,152,150,127,127,127,214,39,40,148,103,189
152,48,47,133,42,41,208,92,68,179,65,50,197,83,70
199,199,219,39,40,148,188,189,34,214,255,152,150,197,176
