181,212,233,147,195,223,109,174,213,75,151,201,47,126,187,24,100,170
235,195,138,229,170,104,217,148,85,202,125,78,191,100,62,178,75,52
183,226,177,151,212,148,115,195,120,77,175,98,47,152,79,22,127,59
205,205,205,180,180,180,151,151,151,122,122,122,95,95,95,63,63,63
253,194,140,253,168,98,251,141,61,242,113,30,225,86,10,195,66,3
205,206,229,182,182,215,158,155,201,135,129,188,115,99,172,97,64,155
252,171,143,252,138,107,249,105,76,239,70,52,217,40,36,187,22,26
152,207,208,120,190,189,91,173,172,61,156,155,41,137,138,23,120,120
70,50,127,55,92,141,39,128,142,31,161,135,74,194,109,159,218,58
35,17,81,95,24,127,152,45,128,211,67,110,248,118,93,254,186,129
223,52,52,245,107,65,253,174,97,26,152,79,254,88,64,167,217,106
31,119,180,219,219,141,158,218,229,174,199,232,255,187,120,199,199,199
152,223,138,255,152,150,197,176,213,214,39,40,148,103,189,140,86,75
188,189,34,255,152,150,219,219,141,174,199,232,227,119,194,31,119,180
31,119,180,255,127,14,44,160,44,174,199,232,255,187,120,152,223,138
128,131,173,145,137,155,177,160,188,164,156,194,94,103,144,131,143,160
174,199,232,255,127,14,255,187,120,31,119,180,44,160,44,247,182,210
140,86,75,227,119,194,127,127,127,196,156,148,247,182,210,199,23,190
174,199,232,255,187,120,255,127,14,31,119,180,44,160,44,140,86,75
201,175,165,217,165,163,159,142,134,223,198,188,202,165,141,183,161,169
31,119,180,255,127,14,44,160,44,174,199,232,255,187,120,152,223,138
201,107,105,184,56,65,215,143,138,209,74,85,213,154,108,145,87,79
198,164,171,158,129,149,174,134,140,232,208,208,136,124,168,107,98,144
152,48,47,133,42,41,208,92,68,179,65,50,197,83,70,175,54,52
199,217,201,115,165,108,137,178,92,110,158,74,197,215,166,77,139,106
225,202,226,158,205,234,221,208,179,184,212,230,166,226,185,224,168,194
152,223,138,255,152,150,127,127,127,214,39,40,148,103,189,197,176,213
199,199,219,39,40,148,188,189,34,214,255,152,150,197,176,213,152,223
95,45,19,163,128,121,129,78,38,197,162,155,246,215,201,118,90,92
191,176,195,131,136,175,209,193,194,58,74,142,31,37,78,219,187,100
